year,artist_id,exhibition_id
2024,157414,1131238
2024,149485,1131238
2024,918686,1131238
2024,5362,1131238
2024,118488,1131238
2024,458874,1131238
2024,42414,1131238
2024,198586,1131238
2024,22182,1131238
2024,195012,1131238
2024,81737,1131238
2024,1002148,1131238
2024,267723,1131238
2024,542584,1131238
2024,627961,1131238
2024,33203,1131238
2024,40438,1131238
2024,105529,1131238
2024,64460,1131238
2024,547145,1131238
2024,1002124,1131238
2024,44335,1131238
2024,1002157,1131238
2024,1002103,1131238
2024,1002139,1131238
2024,61774,1131238
2024,56453,1131238
2024,1002134,1131238
2024,1002137,1131238
2024,609248,1131238
2024,1002138,1131238
2024,1002150,1131238
2024,21619,1131238
2024,148965,1131238
2024,136110,1131238
2024,122011,1131238
2024,1002115,1131238
2024,1002122,1131238
2024,1002053,1131238
2024,417871,1131238
2024,23817,1131238
2024,1002140,1131238
2024,230649,1131238
2024,81069,1131238
2024,972191,1131238
2024,117924,1131238
2024,1002066,1131238
2024,1002087,1131238
2024,422528,1131238
2024,711457,1131238
2024,61466,1131238
2024,40022,1131238
2024,298727,1131238
2024,148345,1131238
2024,16233,1131238
2024,302642,1131238
2024,1002114,1131238
2024,1002101,1131238
2024,189657,1131238
2024,22453,1131238
2024,98567,1131238
2024,727015,1131238
2024,1002154,1131238
2024,1002123,1131238
2024,307739,1131238
2024,102981,1131238
2024,300705,1131238
2024,571981,1131238
2024,497399,1131238
2024,521023,1131238
2024,183914,1131238
2024,204917,1131238
2024,1002056,1131238
2024,802754,1131238
2024,448773,1131238
2024,174405,1131238
2024,422968,1131238
2024,27253,1131238
2024,149480,1131238
2024,60566,1131238
2024,29819,1131238
2024,19833,1131238
2024,1002068,1131238
2024,938450,1131238
2024,1002071,1131238
2024,738772,1131238
2024,72953,1131238
2024,16138,1131238
2024,689987,1131238
2024,40962,1131238
2024,23313,1131238
2024,64562,1131238
2024,23302,1131238
2024,31132,1131238
2024,1002057,1131238
2024,478619,1131238
2024,1002106,1131238
2024,77169,1131238
2024,999375,1131238
2024,239560,1131238
2024,1002070,1131238
2024,1002079,1131238
2024,33238,1131238
2024,102164,1131238
2024,38089,1131238
2024,8907,1131238
2024,12588,1131238
2024,843770,1131238
2024,110203,1131238
2024,16393,1131238
2024,1002149,1131238
2024,457692,1131238
2024,72522,1131238
2024,712071,1131238
2024,99166,1131238
2024,319451,1131238
2024,27218,1131238
2024,326278,1131238
2024,649768,1131238
2024,113298,1131238
2024,39323,1131238
2024,45810,1131238
2024,148819,1131238
2024,509977,1131238
2024,32967,1131238
2024,355697,1131238
2024,194342,1131238
2024,1002082,1131238
2024,436490,1131238
2024,194357,1131238
2024,293104,1131238
2024,142530,1131238
2024,83006,1131238
2024,606712,1131238
2024,129209,1131238
2024,680254,1131238
2024,195929,1131238
2024,14360,1131238
2024,677365,1131238
2024,64559,1131238
2024,11581,1131238
2024,279444,1131238
2024,97809,1131238
2024,950962,1131238
2024,170896,1131238
2024,343334,1131238
2024,165177,1131238
2024,701400,1131238
2024,98543,1131238
2024,409196,1131238
2024,928403,1131238
2024,928773,1131238
2024,11869,1131238
2024,20714,1131238
2024,21794,1131238
2024,239558,1131238
2024,63953,1131238
2024,2105,1131238
2024,1002069,1131238
2024,168667,1131238
2024,570937,1131238
2024,263073,1131238
2024,97647,1131238
2024,641108,1131238
2024,321600,1131238
2024,420579,1131238
2024,91510,1131238
2024,1002084,1131238
2024,11704,1131238
2024,114658,1131238
2024,29610,1131238
2024,606545,1131238
2024,557462,1131238
2024,794917,1131238
2024,820891,1131238
2024,34952,1131238
2024,734119,1131238
2024,43050,1131238
2024,250447,1131238
2024,421176,1131238
2024,1002144,1131238
2024,1002072,1131238
2024,222264,1131238
2024,592059,1131238
2024,816056,1131238
2024,599226,1131238
2024,387273,1131238
2024,60341,1131238
2024,285858,1131238
2024,1002088,1131238
2024,413974,1131238
2024,231339,1131238
2024,125965,1131238
2024,19839,1131238
2024,1002099,1131238
2024,324853,1131238
2024,251068,1131238
2024,916282,1131238
2024,624573,1131238
2024,82873,1131238
2024,39840,1131238
2024,711095,1131238
2024,13660,1131238
2024,72679,1131238
2024,8749,1131238
2024,1002102,1131238
2024,93201,1131238
2024,598007,1131238
2024,483160,1131238
2024,281556,1131238
2024,1002094,1131238
2024,1002058,1131238
2024,49903,1131238
2024,572291,1131238
2024,47940,1131238
2024,1002063,1131238
2024,1002073,1131238
2024,52667,1131238
2024,1002100,1131238
2024,33158,1131238
2024,19465,1131238
2024,811127,1131238
2024,456893,1131238
2024,712746,1131238
2024,263023,1131238
2024,730996,1131238
2024,938142,1131238
2024,677184,1131238
2024,73530,1131238
2024,112039,1131238
2024,10662,1131238
2024,372314,1131238
2024,37069,1131238
2024,188347,1131238
2024,1002074,1131238
2024,441267,1131238
2024,72645,1131238
2024,610218,1131238
2024,881332,1131238
2024,703811,1131238
2024,169668,1131238
2024,1002076,1131238
2024,34906,1131238
2024,1002097,1131238
2024,136098,1131238
2024,670577,1131238
2024,55394,1131238
2024,1002125,1131238
2024,615066,1131238
2024,55056,1131238
2024,233130,1131238
2024,5640,1131238
2024,515757,1131238
2024,62021,1131238
2024,175988,1131238
2024,71375,1131238
2024,1002059,1131238
2024,282048,1131238
2022,17201,934016
2022,880733,934016
2022,244634,934016
2022,468135,934016
2022,2093,934016
2022,152130,934016
2022,808185,934016
2022,20613,934016
2022,116144,934016
2022,808816,934016
2022,328429,934016
2022,204005,934016
2022,82502,934016
2022,477295,934016
2022,9212,934016
2022,820634,934016
2022,425158,934016
2022,227655,934016
2022,351486,934016
2022,27782,934016
2022,808184,934016
2022,38074,934016
2022,827538,934016
2022,26273,934016
2022,30042,934016
2022,16260,934016
2022,186596,934016
2022,808194,934016
2022,47163,934016
2022,219858,934016
2022,604565,934016
2022,15320,934016
2022,328198,934016
2022,46683,934016
2022,99570,934016
2022,262828,934016
2022,495667,934016
2022,53978,934016
2022,155713,934016
2022,232030,934016
2022,72239,934016
2022,189943,934016
2022,808190,934016
2022,36076,934016
2022,5457,934016
2022,124799,934016
2022,20625,934016
2022,810922,934016
2022,39207,934016
2022,145437,934016
2022,422848,934016
2022,76071,934016
2022,137948,934016
2022,808192,934016
2022,571954,934016
2022,495646,934016
2022,284181,934016
2022,3445,934016
2022,10857,934016
2022,302192,934016
2022,810921,934016
2022,30106,934016
2022,727676,934016
2022,396296,934016
2022,455185,934016
2022,285856,934016
2022,827539,934016
2022,62964,934016
2022,903456,934016
2022,75691,934016
2022,363475,934016
2022,200941,934016
2022,880734,934016
2022,28434,934016
2022,198219,934016
2022,810923,934016
2022,2904,934016
2022,453115,934016
2022,23196,934016
2022,880735,934016
2022,30446,934016
2022,2765,934016
2022,74826,934016
2022,54358,934016
2022,9865,934016
2022,753974,934016
2022,230100,934016
2022,180572,934016
2022,302540,934016
2022,810924,934016
2022,619938,934016
2022,419467,934016
2022,10215,934016
2022,107562,934016
2022,39044,934016
2022,15865,934016
2022,622253,934016
2022,610219,934016
2022,677775,934016
2022,610530,934016
2022,244912,934016
2022,36742,934016
2022,808191,934016
2022,44158,934016
2022,52822,934016
2022,625788,934016
2022,342320,934016
2022,161429,934016
2022,903457,934016
2022,297890,934016
2022,2164,934016
2022,30348,934016
2022,13110,934016
2022,446042,934016
2022,235655,934016
2022,265811,934016
2022,810925,934016
