source,target,weight
1011174,1100955,16
1011174,984543,16
1011174,986862,16
1011174,997094,16
1011238,1045870,16
1011499,253706,12
1011499,988455,14
1012022,827411,12
1012546,1021616,16
1012567,180495,14
1012567,223989,14
1014196,1039872,13
1014196,1040170,13
1014196,109841,11
1014196,119441,11
1014196,140043,11
1014196,140172,11
1014196,228210,11
1014196,277015,11
1014196,303196,13
1014196,378649,11
1014196,402904,12
1014196,41281,11
1014196,448351,11
1014196,507022,12
1014196,58785,13
1014196,591985,11
1014196,636816,12
1014196,691658,11
1014196,753415,13
1014196,774060,11
1014196,796515,12
1014196,828848,12
1014196,837782,12
1014196,840387,13
1014196,85037,11
1014196,883296,11
1014196,889629,11
1016225,970602,25
1016471,734625,20
1016860,303196,11
1017000,976310,13
101755,162099,12
101755,428491,12
1017820,791160,11
101832,40752,12
1018326,564101,11
1018326,673484,11
1018332,79666,12
1018480,106317,13
1018480,117774,13
1018480,134486,11
1018480,135701,19
1018480,14213,15
1018480,163018,11
1018480,177023,16
1018480,18607,11
1018480,209354,12
1018480,239695,13
1018480,239702,15
1018480,275226,12
1018480,305182,13
1018480,31121,13
1018480,332100,11
1018480,352769,17
1018480,357357,11
1018480,385335,13
1018480,457616,13
1018480,521637,11
1018480,524947,12
1018480,560978,11
1018480,567031,12
1018480,573485,14
1018480,627203,14
1018480,62932,11
1018480,650611,11
1018480,652880,14
1018480,678110,17
1018480,714957,11
1018480,721297,12
1018480,734439,19
1018480,747694,13
1018480,747713,12
1018480,753419,11
1018480,768827,11
1018480,77840,11
1018480,805567,13
1018480,805757,13
1018480,806523,11
1018480,811695,14
1018480,882834,11
1018480,991128,17
101857,950219,11
1018616,1071527,24
1018616,818438,12
1018616,975342,17
1018633,1101682,15
1018633,224004,11
1018633,603392,11
1018633,714957,11
1018635,1077175,13
1018635,109841,11
1018635,13531,11
1018635,140043,11
1018635,141947,11
1018635,14694,11
1018635,230178,14
1018635,236737,11
1018635,297580,11
1018635,43376,11
1018635,497831,11
1018635,51926,11
1018635,558041,13
1018635,564009,11
1018635,602526,11
1018635,664125,11
1018635,692831,11
1018635,701659,13
1018635,804505,12
1018635,828848,13
1018635,840387,13
1018635,863899,11
1018635,898479,12
