person_id,person_name,role,event_year,event_title,event_id,event_type,tipo
311895,Gian Luigi Rondi,Giuria Concorso Internazionale per il nuovo Palazzo del Cinema,1991,Quinta Mostra Internazionale di Architettura,94,manifestazione,annali_architettura
311895,Gian Luigi Rondi,Consiglio Direttivo,1992,49. Mostra Internazionale d’Arte Cinematografica,65,manifestazione,annali_cinema
311895,Gian Luigi Rondi,Consiglio Direttivo,1992,Architettura e Spazio Sacro nella Modernità,441,manifestazione,altro
311895,Gian Luigi Rondi,Presidente,1993,50. Mostra Internazionale d’Arte Cinematografica,66,manifestazione,annali_cinema
311895,Gian Luigi Rondi,Presidente,1993,45. Esposizione Internazionale d'Arte : punti cardinali dell'arte,249,manifestazione,annali_arti_visive
311895,Gian Luigi Rondi,Presidente,1993,Festival Internazionale di Musica Contemporanea: Con Luigi Nono,258,manifestazione,annali_musica
311895,Gian Luigi Rondi,Presidente,1994,51. Mostra Internazionale d’Arte Cinematografica,67,manifestazione,annali_cinema
311895,Gian Luigi Rondi,Presidente,1994,Biennale Musica 1994,416,manifestazione,annali_musica
311895,Gian Luigi Rondi,Presidente,1995,34. Festival Internazionale del Teatro,160,manifestazione,annali_teatro
311895,Gian Luigi Rondi,Presidente,1995,52. Mostra Internazionale d’Arte Cinematografica,68,manifestazione,annali_cinema
311895,Gian Luigi Rondi,Presidente,1995,46. Esposizione Internazionale d'Arte,248,manifestazione,annali_arti_visive
311895,Gian Luigi Rondi,Presidente,1995,"46. Festival Internazionale di Musica Contemporanea : L’ora di là dal tempo, momenti di spiritualità nella musica contemporanea",252,manifestazione,annali_musica
311895,Gian Luigi Rondi,Presidente,1996,6. Mostra Internazionale di Architettura : Sensori del futuro. L’architetto come sismografo,95,manifestazione,annali_architettura
311895,Gian Luigi Rondi,Presidente,1996,53. Mostra Internazionale d’Arte Cinematografica,69,manifestazione,annali_cinema
311895,Gian Luigi Rondi,Presidente,1996,Quattro ritratti,253,manifestazione,annali_musica
417816,Robert Graham,Artista,2011,Venice in Venice: Glow and Reflection – Venice California Art from 1960 to the Present (Evento Collaterale),596,event,annali_arti_visive
368337,Mario Penelope,Commissario,1972,Grafica d'oggi,5602,section,annali_arti_visive
368337,Mario Penelope,Commissario,1972,Grafica d'oggi - Argentina,8771,section,annali_arti_visive
368337,Mario Penelope,Commissario,1972,Grafica d'oggi - Austria,8772,section,annali_arti_visive
368337,Mario Penelope,Commissario,1972,Grafica d'oggi - Belgio,8773,section,annali_arti_visive
368337,Mario Penelope,Commissario,1972,Grafica d'oggi - Brasile,8774,section,annali_arti_visive
368337,Mario Penelope,Commissario,1972,Grafica d'oggi - Canada,8775,section,annali_arti_visive
368337,Mario Penelope,Commissario,1972,Grafica d'oggi - Cecoslovacchia,8776,section,annali_arti_visive
368337,Mario Penelope,Commissario,1972,Grafica d'oggi - Cile,8777,section,annali_arti_visive
368337,Mario Penelope,Commissario,1972,Grafica d'oggi - Cipro,8787,section,annali_arti_visive
368337,Mario Penelope,Commissario,1972,Grafica d'oggi - Columbia,8788,section,annali_arti_visive
368337,Mario Penelope,Commissario,1972,Grafica d'oggi - Corea,8789,section,annali_arti_visive
368337,Mario Penelope,Commissario,1972,Grafica d'oggi - Cuba,8790,section,annali_arti_visive
368337,Mario Penelope,Commissario,1972,Grafica d'oggi - Danimarca,8826,section,annali_arti_visive
368337,Mario Penelope,Commissario,1972,Grafica d'oggi - Ecuador,8827,section,annali_arti_visive
368337,Mario Penelope,Commissario,1972,Grafica d'oggi - Finlandia,8828,section,annali_arti_visive
368337,Mario Penelope,Commissario,1972,Grafica d'oggi - Francia,8829,section,annali_arti_visive
368337,Mario Penelope,Commissario,1972,Grafica d'oggi - Germania,8831,section,annali_arti_visive
368337,Mario Penelope,Commissario,1972,Grafica d'oggi - Giappone,8832,section,annali_arti_visive
368337,Mario Penelope,Commissario,1972,Grafica d'oggi - Gran Bretagna,8843,section,annali_arti_visive
368337,Mario Penelope,Commissario,1972,Grafica d'oggi - Grecia,8844,section,annali_arti_visive
368337,Mario Penelope,Commissario,1972,Grafica d'oggi - Guatemala,8845,section,annali_arti_visive
368337,Mario Penelope,Commissario,1972,Grafica d'oggi - India,8846,section,annali_arti_visive
368337,Mario Penelope,Commissario,1972,Grafica d'oggi - Irlanda,8847,section,annali_arti_visive
368337,Mario Penelope,Commissario,1972,Grafica d'oggi - Israele,8848,section,annali_arti_visive
368337,Mario Penelope,Commissario,1972,Grafica d'oggi - Italia,8849,section,annali_arti_visive
368337,Mario Penelope,Vice Commissario Straordinario,1971,34. Festival Internazionale di Musica Contemporanea,251,manifestazione,annali_musica
368337,Mario Penelope,Sottocommissione per la Esposizione d'Arte,1972,36. Esposizione Biennale Internazionale d'Arte,237,manifestazione,annali_arti_visive
368337,Mario Penelope,Vice Commissario,1972,35. Festival Internazionale di Musica Contemporanea,195,manifestazione,annali_musica
368337,Mario Penelope,Vice Commissario Straordinario,1972,36. Esposizione Biennale Internazionale d'Arte,237,manifestazione,annali_arti_visive
368337,Mario Penelope,Consiglio Direttivo,1983,40. Mostra Internazionale del Cinema,56,manifestazione,annali_cinema
