Artist_URI,Wikidata_ID,Artist_Name,Gender,Birthplace,Deathplace,Birthdate,Deathdate,Nationality,Work_Location_English,Start_Date,End_Date,VB_name
https://data.rkd.nl/artists/43309,Q1460165,"Kallmorgen, Friedrich",Male,Altenau (Goslar),Grötzingen,1856,1924,German,Volendam,1889,1889,Friedrich Kallmorgen
https://data.rkd.nl/artists/43309,Q1460165,"Kallmorgen, Friedrich",Male,Altenau (Goslar),Grötzingen,1856,1924,German,Amersfoort,1885,1900,Friedrich Kallmorgen
https://data.rkd.nl/artists/43309,Q1460165,"Kallmorgen, Friedrich",Male,Altenau (Goslar),Grötzingen,1856,1924,German,Delft,1888,1888,Friedrich Kallmorgen
https://data.rkd.nl/artists/43309,Q1460165,"Kallmorgen, Friedrich",Male,Altenau (Goslar),Grötzingen,1856,1924,German,Rotterdam,1895,1896,Friedrich Kallmorgen
https://data.rkd.nl/artists/433221,,"Carlucci, Cosimo",Male,Brindisi (place),,1919,nan,Italian,Rome,nan,nan,Cosimo Carlucci
https://data.rkd.nl/artists/43334,Q2173120,"Kalvach, Rudolf",Male,Vienna (city),Kosmonosy,1883,1932,Austrian,Vienna,nan,nan,Rudolf Kalvach
https://data.rkd.nl/artists/43334,Q2173120,"Kalvach, Rudolf",Male,Vienna (city),Kosmonosy,1883,1932,Austrian,Trieste,nan,nan,Rudolf Kalvach
https://data.rkd.nl/artists/433423,Q22117412,"Bohdanowicz, Jadwiga",Female,,Rome,nan,1943,Polish,Kraków,1916,1918,Jadwiga Bohdanowicz
https://data.rkd.nl/artists/433423,Q22117412,"Bohdanowicz, Jadwiga",Female,,Rome,nan,1943,Polish,Paris,1924,1934,Jadwiga Bohdanowicz
https://data.rkd.nl/artists/433423,Q22117412,"Bohdanowicz, Jadwiga",Female,,Rome,nan,1943,Polish,Rome,1934,1934,Jadwiga Bohdanowicz
https://data.rkd.nl/artists/433425,,"Blaszko, Martin",Male,"Berlin (city, Germany)","Buenos Aires (city, Argentina)",1920,2011,German,Łódź,1938,1938,Martin Blaszko
https://data.rkd.nl/artists/433425,,"Blaszko, Martin",Male,"Berlin (city, Germany)","Buenos Aires (city, Argentina)",1920,2011,German,Gdańsk,1938,1938,Martin Blaszko
https://data.rkd.nl/artists/433425,,"Blaszko, Martin",Male,"Berlin (city, Germany)","Buenos Aires (city, Argentina)",1920,2011,German,Paris,1938,1938,Martin Blaszko
https://data.rkd.nl/artists/433425,,"Blaszko, Martin",Male,"Berlin (city, Germany)","Buenos Aires (city, Argentina)",1920,2011,German,Buenos Aires,1939,1939,Martin Blaszko
https://data.rkd.nl/artists/433428,,"Biernacki, Jan Antoni",Male,Warsaw,Poland,1879,1930,Polish,Italy,1903,1903,Jan Antoni Biernacki
https://data.rkd.nl/artists/433428,,"Biernacki, Jan Antoni",Male,Warsaw,Poland,1879,1930,Polish,Paris,1909,1909,Jan Antoni Biernacki
https://data.rkd.nl/artists/433454,Q12725453,"Baraschi, Constantin",Male,Campulung (Arges),Boekarest,1902,1966,Romanian,Europe,1929,1929,Constantin Baraschi
https://data.rkd.nl/artists/433502,Q11705481,"Baicoianu, Zoe",Female,Predeal (Brasov),Boekarest,1910,1987,Romanian,Paris,1931,1931,Zoe Baicoianu
https://data.rkd.nl/artists/433529,,"Dimitriadis, Kostas",Male,Asenovgrad,Athene,1881,1943,Bulgarian,Munich,1903,1904,Kostas Dimitriadis
https://data.rkd.nl/artists/433529,,"Dimitriadis, Kostas",Male,Asenovgrad,Athene,1881,1943,Bulgarian,Paris,1904,1930,Kostas Dimitriadis
https://data.rkd.nl/artists/433529,,"Dimitriadis, Kostas",Male,Asenovgrad,Athene,1881,1943,Bulgarian,London,1912,1912,Kostas Dimitriadis
